post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
187932849.the-physics-of-types,,false,,,newsletter,only_paid,,,
187554354.the-daddy-state,,false,,,newsletter,only_paid,,,
186002592.thermodynamically-optimal-governance,,false,,,newsletter,only_paid,,,
183943021.the-thermodynamics-of-types,2026-01-09T13:55:23.414Z,true,2026-01-09T13:55:23.572Z,2026-01-09T13:55:23.572Z,newsletter,everyone,The thermodynamics of types,Quantifying the idea of mechanisms as types,
182415825.human-evolution-institutions-as-the,,false,,,newsletter,only_paid,,,
181734828.mass-time-and-plans,,false,,,newsletter,only_paid,,,
181094889.toward-an-analytic-continuation-of,,false,,,newsletter,only_paid,,,
180932192.inequality-thermodynamics-and-decentralization,,false,,,newsletter,only_paid,,,
180646063.observers-mechanisms-and-types,,false,,,newsletter,only_paid,,,
180299144.mechanisms-as-types,2025-12-02T06:36:19.253Z,true,2025-12-02T06:36:19.399Z,2025-12-02T06:36:19.399Z,newsletter,everyone,Mechanisms as Types,Physical systems have a direct correspondence to types,
179258394.dependency-graph,,false,,,newsletter,only_paid,,,
174865816.a81,,false,,,newsletter,only_paid,,,
174437229.category-theory-of-complex-systems,,false,,,newsletter,only_paid,,,
174414243.a-way-out-of-this-mess,,false,,,newsletter,only_paid,,,
174343232.why-the-wealth-gap-matters,,false,,,newsletter,only_paid,,,
174281714.why-im-hopeful-for-the-future,,false,,,newsletter,only_paid,,,
174223905.a63,,false,,,newsletter,only_paid,,,
172608088.base-2-system,,false,,,newsletter,only_paid,,,
170950507.kinetic-energy-and-potential-energy,2025-12-09T16:38:41.122Z,true,2025-12-09T16:38:41.280Z,2025-12-09T16:38:41.280Z,newsletter,everyone,Kinetic energy and potential energy and information,And symmetry,
170808886.the-category-theory-of-emergent-group,,false,,,newsletter,only_paid,,,
170445943.how-much-energy-does-it-take-to-learn,2025-08-22T14:22:28.039Z,true,2025-08-22T14:22:28.187Z,2025-08-22T14:22:28.187Z,newsletter,everyone,How much energy does it take to learn?,Energy of constraint => Energy of acquiring information,
170182898.cycles-persistence-and-categories,2025-09-02T20:37:49.354Z,true,2025-09-02T20:37:49.515Z,2025-09-02T20:37:49.515Z,newsletter,everyone,"Cycles, Persistence, and Computation",How systems become symbolic,
168123036.computing-with-geometry-part-2,,false,,,newsletter,only_paid,,,
167848782.what-does-a-distributist-society,2025-09-16T14:07:44.958Z,true,2025-09-16T14:07:45.092Z,2025-09-16T14:07:45.092Z,newsletter,everyone,What does a distributist society look like?,How to move on from what’s not working,
166777432.how-institutions-learned-to-talk,2025-06-27T02:34:40.053Z,true,2025-06-27T02:34:40.178Z,2025-06-27T02:34:40.178Z,newsletter,everyone,How institutions learned to talk,"Cognitive linguistics, institutions, and where llm's fit into consciousness",
165925006.computing-with-geometry,2025-06-19T14:58:59.820Z,true,2025-06-19T14:58:59.934Z,2025-06-19T14:58:59.934Z,newsletter,everyone,Computing with geometry?,Representing programs as matrices,
165647354.intelligence-and-computation-is-rearrangement,2025-08-02T15:35:22.530Z,true,2025-08-02T15:35:22.637Z,2025-08-02T15:35:22.637Z,newsletter,everyone,Intelligence and computation is rearrangement of dependencies,"So is language and metaphor, which is why llms work so well",
163436723.forms-of-collective-consciousness,2025-05-26T20:12:22.494Z,true,2025-05-26T20:12:22.585Z,2025-05-26T20:12:22.585Z,newsletter,everyone,An uncomputable form of collective consciousness?,Free energy principle & shared knowledge,
163167863.cognitive-linguistics-llms-and-the,,false,,,newsletter,only_paid,,,
162185438.manipulations-of-phase-volume-correspondences,,false,,,newsletter,only_paid,,,
161216273.observer-and-observed-as-closed-hamiltonian,,false,,,newsletter,only_paid,,,
160883221.scale-and-information,,false,,,newsletter,only_paid,,,
160883210.negation-and-observation,,false,,,newsletter,only_paid,,,
160867017.a-bridge-between-kinetics-and-information,2025-04-26T09:51:46.314Z,true,2025-04-26T09:51:46.415Z,2025-04-26T09:51:46.415Z,newsletter,everyone,A Bridge between kinetics and information theory?,"Observations, Energy, Action, and Entropy",
159110563.111,,false,,,newsletter,only_paid,,,
158446509.action-observations-and-information,,false,,,newsletter,only_paid,,,
158402578.a-free-energy-principle-model-for,,false,,,newsletter,only_paid,,,
158400285.distributed-computation-metaphor,2025-03-04T23:57:32.213Z,true,2025-03-04T23:57:32.375Z,2025-03-04T23:57:32.375Z,newsletter,everyone,"Distributed computation, metaphor, enculturation, and consciousness","How enculturation bootstraps consciousness through metaphor, resulting in society as a distributed computer",
157774748.the-true-origins-of-language,,false,,,newsletter,only_paid,,,
156922406.llms-as-fuzzy-logic-programming-language,,false,,,newsletter,only_paid,,,
156793113.observation-constraint-and-mass,2025-02-09T16:46:34.241Z,true,,,newsletter,everyone,"Observation, constraint, and mass",Looking at observations as a form of constraint,
156769188.mass-as-constraint,2025-02-09T16:47:16.206Z,true,,,newsletter,everyone,Mass as constraint,Initial attempts to describe mass as constraints on phase space,
156699832.constraints-entropy-and-action,2025-02-09T03:03:32.253Z,true,2025-02-09T03:03:32.348Z,2025-02-09T03:03:32.348Z,newsletter,everyone,"Constraints, Entropy, and Action",How constraints provide the basis for some fundamental dynamics of physics,
156691980.080,,false,,,newsletter,only_paid,,,
155913805.llms-and-human-language-as-a-distributed,2025-02-09T19:35:56.381Z,true,2025-02-09T19:35:56.488Z,2025-02-09T19:35:56.488Z,newsletter,everyone,LLM's and Human language as a distributed systems protocol,How human language helps us maintain a shared state graph - and how our institutions operate through that graph,
155714558.inertia-and-constraint,,false,,,newsletter,only_paid,,,
